날짜,OIL_DU
2023-10-20,90.66
2023-10-19,90.83
2023-10-18,90.53
2023-10-17,89.84
2023-10-16,89.61
2023-10-13,90.12
2023-10-12,87.37
2023-10-11,87.21
2023-10-10,88.22
2023-10-09,88.53
2023-10-06,85.88
2023-10-05,85.5
2023-10-04,86.93
2023-10-03,91.43
2023-10-02,91.33
2023-09-29,92.51
2023-09-28,93.28
2023-09-27,94.98
2023-09-26,93.08
2023-09-25,92.28
2023-09-22,93.05
2023-09-21,93.04
2023-09-20,93.14
2023-09-19,93.15
2023-09-18,93.64
2023-09-15,93.56
2023-09-14,93.45
2023-09-13,92.18
2023-09-12,92.34
2023-09-11,91.38
2023-09-08,91.37
2023-09-07,90.86
2023-09-06,91.69
2023-09-05,90.8
2023-09-01,89.68
2023-08-31,88.06
2023-08-30,86.16
2023-08-29,85.98
2023-08-28,85.27
2023-08-25,85.35
2023-08-24,84.27
2023-08-23,86.09
2023-08-22,86.28
2023-08-21,86.36
2023-08-18,86.44
2023-08-17,86.0
2023-08-16,85.68
2023-08-15,86.39
2023-08-14,87.2
2023-08-11,87.63
2023-08-10,87.32
2023-08-09,88.17
2023-08-08,87.47
2023-08-07,86.75
2023-08-04,87.23
2023-08-03,86.19
2023-08-02,84.32
2023-08-01,85.58
2023-07-31,85.81
2023-07-28,85.0
2023-07-27,84.23
2023-07-26,83.12
2023-07-25,84.09
2023-07-24,83.19
2023-07-21,79.9
2023-07-20,79.41
2023-07-19,79.3
2023-07-18,79.33
2023-07-17,78.83
2023-07-14,79.31
2023-07-13,79.89
2023-07-12,79.08
2023-07-11,78.8
2023-07-10,77.62
2023-07-07,78.24
2023-07-06,76.54
2023-07-05,76.42
2023-07-03,74.91
2023-06-30,75.55
2023-06-29,74.59
2023-06-28,74.55
2023-06-27,72.46
2023-06-26,74.14
2023-06-23,74.88
2023-06-22,74.91
2023-06-21,75.7
2023-06-20,75.1
2023-06-16,75.2
2023-06-15,74.69
2023-06-14,73.42
2023-06-13,73.89
2023-06-12,72.41
2023-06-09,74.38
2023-06-08,75.2
2023-06-07,75.83
2023-06-06,75.5
2023-06-05,75.14
2023-06-02,74.41
2023-06-01,72.75
2023-05-31,70.94
2023-05-30,72.08
2023-05-26,75.51
2023-05-25,74.66
2023-05-24,76.78
2023-05-23,74.99
2023-05-22,74.77
2023-05-19,74.61
2023-05-18,74.76
2023-05-17,75.18
2023-05-16,74.42
2023-05-15,74.54
2023-05-12,74.01
2023-05-11,74.74
2023-05-10,75.64
2023-05-09,76.55
2023-05-08,76.25
2023-05-05,74.88
2023-05-04,72.5
2023-05-03,72.28
2023-05-02,75.01
2023-05-01,79.24
2023-04-28,80.26
2023-04-27,77.48
2023-04-26,76.75
2023-04-25,79.95
2023-04-24,81.81
2023-04-21,80.82
2023-04-20,83.55
2023-04-19,84.36
2023-04-18,85.0
2023-04-17,84.95
2023-04-14,85.64
2023-04-13,85.61
2023-04-12,86.35
2023-04-11,85.19
2023-04-10,84.28
2023-04-07,84.99
2023-04-06,84.99
2023-04-05,84.59
2023-04-04,84.47
2023-04-03,84.69
2023-03-31,79.39
2023-03-30,77.77
2023-03-29,76.77
2023-03-28,77.31
2023-03-27,77.14
2023-03-24,74.1
2023-03-23,78.13
2023-03-22,78.35
2023-03-21,77.97
2023-03-20,77.37
2023-03-17,77.14
2023-03-16,77.85
2023-03-15,77.25
2023-03-14,79.2
2023-03-13,81.01
2023-03-10,82.16
2023-03-09,81.24
2023-03-08,81.97
2023-03-07,82.07
2023-03-06,84.4
2023-03-03,84.31
2023-03-02,83.06
2023-03-01,82.34
2023-02-28,81.43
2023-02-27,80.26
2023-02-24,81.2
2023-02-23,80.06
2023-02-22,78.38
2023-02-21,80.49
2023-02-17,82.07
2023-02-16,82.83
2023-02-15,82.95
2023-02-14,83.05
2023-02-13,83.52
2023-02-10,83.15
2023-02-09,81.86
2023-02-08,82.17
2023-02-07,81.19
2023-02-06,78.97
2023-02-03,78.1
2023-02-02,80.07
2023-02-01,80.32
2023-01-31,82.35
2023-01-30,81.16
2023-01-27,83.16
2023-01-26,84.02
2023-01-25,83.02
2023-01-24,83.12
2023-01-23,81.07
2023-01-20,81.0
2023-01-19,80.49
2023-01-18,80.19
2023-01-17,80.66
2023-01-13,80.02
2023-01-12,79.39
2023-01-11,78.68
2023-01-10,77.06
2023-01-09,76.43
2023-01-06,75.4
2023-01-05,75.46
2023-01-04,74.69
2023-01-03,77.91
2022-12-30,81.06
2022-12-29,78.68
2022-12-28,79.45
2022-12-27,80.29
2022-12-23,80.11
2022-12-22,76.87
2022-12-21,77.1
2022-12-20,76.4
2022-12-19,76.31
2022-12-16,75.89
2022-12-15,76.9
2022-12-14,77.67
2022-12-13,76.62
2022-12-12,75.13
2022-12-09,73.71
2022-12-08,73.45
2022-12-07,73.88
2022-12-06,75.12
2022-12-05,77.52
2022-12-02,80.1
2022-12-01,80.94
2022-11-30,80.47
2022-11-29,77.21
2022-11-28,76.93
2022-11-25,76.19
2022-11-23,77.62
2022-11-22,86.6
2022-11-21,86.62
2022-11-18,86.86
2022-11-17,87.59
2022-11-16,88.94
2022-11-15,89.44
2022-11-14,89.5
2022-11-11,91.11
